"","number_visits","number_detections","elev","forest"
"1",3,0,420,3
"2",3,0,450,21
"3",3,0,1050,32
"4",3,0,1110,35
"5",3,0,510,2
"6",3,0,630,60
"7",3,0,590,5
"8",3,0,530,13
"9",3,2,1140,50
"10",3,1,770,57
"11",3,0,1220,84
"12",3,0,460,17
"13",3,0,1010,58
"14",3,0,760,26
"15",3,1,1300,32
"16",3,2,1270,66
"17",3,0,380,45
"18",3,3,550,31
"19",3,0,390,8
"20",3,1,1380,78
"21",3,0,530,37
"22",3,0,1190,18
"23",3,3,1490,54
"24",3,0,920,6
"25",3,0,620,3
"26",3,0,540,27
"27",3,2,820,56
"28",3,3,1220,66
"29",3,3,1180,43
"30",3,0,730,40
"31",3,0,580,5
"32",3,0,490,3
"33",3,0,1270,52
"34",3,0,930,38
"35",3,0,510,49
"36",2,2,1830,15
"37",3,3,1940,62
"38",3,3,1090,82
"39",2,0,2010,0
"40",3,0,790,5
"41",3,3,1730,58
"42",3,0,1120,98
"43",3,0,620,33
"44",3,0,590,53
"45",3,3,1840,17
"46",3,0,930,16
"47",3,3,540,60
"48",3,0,420,2
"49",3,3,1400,52
"50",3,0,890,58
"51",3,3,1460,50
"52",2,0,1850,12
"53",3,0,1420,29
"54",3,0,600,16
"55",3,0,550,83
"56",3,0,750,79
"57",3,3,1790,51
"58",3,0,680,8
"59",3,1,990,45
"60",3,0,520,5
"61",3,0,760,64
"62",3,0,370,14
"63",2,0,2710,0
"64",3,0,650,0
"65",3,0,660,30
"66",3,2,730,17
"67",3,0,460,65
"68",3,0,360,30
"69",3,0,250,0
"70",2,0,1940,5
"71",2,0,2420,0
"72",3,1,1320,66
"73",3,0,790,8
"74",3,0,470,75
"75",3,0,410,68
"76",3,3,1940,72
"77",3,3,1570,95
"78",3,3,1880,57
"79",3,0,1290,64
"80",3,3,1340,44
"81",3,1,880,44
"82",3,0,710,34
"83",3,0,630,21
"84",3,0,450,23
"85",1,0,2360,1
"86",3,3,1650,43
"87",3,3,2050,30
"88",3,0,790,26
"89",1,0,730,7
"90",3,0,490,87
"91",3,0,840,49
"92",3,0,450,39
"93",3,3,1010,93
"94",3,0,1450,48
"95",3,0,850,11
"96",3,2,1240,73
"97",3,0,570,12
"98",3,3,1500,42
"99",3,0,1420,26
"100",3,0,780,13
"101",3,0,470,2
"102",2,0,2080,15
"103",3,3,2020,54
"104",3,3,1750,74
"105",3,3,1630,45
"106",3,0,640,61
"107",3,0,530,33
"108",3,0,660,54
"109",3,3,1360,69
"110",3,0,1290,47
"111",3,0,670,5
"112",3,0,480,36
"113",3,3,2000,60
"114",3,2,800,72
"115",3,0,1010,29
"116",3,0,680,7
"117",3,0,490,7
"118",3,0,400,13
"119",3,0,320,2
"120",3,3,1400,16
"121",3,0,590,62
"122",3,0,430,9
"123",3,0,410,37
"124",3,0,510,71
"125",3,3,1930,41
"126",2,1,1560,19
"127",3,0,700,24
"128",3,0,440,10
"129",3,0,480,0
"130",3,0,490,70
"131",3,3,1850,45
"132",3,0,490,18
"133",3,0,480,20
"134",3,0,440,3
"135",3,0,820,20
"136",3,0,670,36
"137",3,0,610,19
"138",3,1,1700,35
"139",3,0,900,87
"140",3,3,1250,51
"141",3,0,910,21
"142",3,0,540,11
"143",3,0,450,29
"144",3,0,470,55
"145",2,1,1880,32
"146",3,2,1400,32
"147",3,0,470,3
"148",2,0,830,58
"149",3,2,1950,36
"150",3,0,1660,86
"151",3,2,1210,75
"152",3,1,380,23
"153",2,0,1840,0
"154",3,0,950,71
"155",3,0,880,69
"156",3,0,480,6
"157",3,0,550,67
"158",3,0,550,67
"159",3,0,340,42
"160",3,0,550,72
"161",3,0,1320,79
"162",3,0,260,47
"163",3,1,2010,26
"164",3,0,1130,56
"165",2,1,1910,18
"166",3,3,1630,33
"167",3,0,1540,21
"168",3,3,1340,39
"169",3,0,1180,69
"170",3,0,830,42
"171",3,0,540,98
"172",3,3,1410,52
"173",3,1,1320,90
"174",3,2,890,50
"175",3,0,580,54
"176",3,0,500,9
"177",3,3,1220,51
"178",3,1,710,35
"179",3,0,1820,57
"180",3,0,520,18
"181",2,2,1890,12
"182",3,0,1650,34
"183",3,0,1390,68
"184",3,0,1390,63
"185",3,1,1290,48
"186",3,2,1810,33
"187",3,2,1130,90
"188",3,0,480,33
"189",3,0,1040,37
"190",3,0,410,8
"191",3,3,2030,36
"192",3,3,1880,66
"193",3,0,950,56
"194",3,0,450,0
"195",3,0,950,41
"196",3,0,1070,63
"197",2,0,1980,0
"198",3,1,1350,35
"199",3,0,540,14
"200",3,0,420,1
"201",3,2,1420,27
"202",2,0,2240,0
"203",2,1,1980,6
"204",2,1,2330,0
"205",2,0,2050,1
"206",3,3,1180,58
"207",2,1,2010,9
"208",2,2,2220,14
"209",2,2,2310,2
"210",3,3,2190,30
"211",3,3,1770,93
"212",3,3,1830,82
"213",3,3,1870,81
"214",3,3,1840,82
"215",2,0,2420,0
"216",3,3,1820,69
"217",3,3,1850,53
"218",2,0,2250,0
"219",2,0,2250,0
"220",2,0,2450,0
"221",2,0,2350,0
"222",2,0,2650,0
"223",2,0,2750,0
"224",2,0,2450,0
"225",2,0,1950,0
"226",2,0,2150,0
"227",2,0,1850,1
"228",2,0,2050,0
"229",2,0,1850,0
"230",2,0,2050,15
"231",2,0,2150,0
"232",2,0,2050,0
"233",2,0,1950,2
"234",2,0,1950,0
"235",2,0,2250,0
"236",2,0,2250,0
"237",2,0,2350,0
