y.1,y.2,y.3,c.1,c.2,c.3,elev,forest,dur.1,dur.2,dur.3,day.1,day.2,day.3,length
0,0,0,0,0,0,420,3,240,240,240,29,58,73,6.2
0,0,0,0,0,0,450,21,160,155,140,13,39,62,5.1
0,0,0,0,0,0,1050,32,120,105,85,30,47,74,4.3
0,0,0,0,0,0,1110,35,180,170,145,23,44,71,5.4
0,0,0,0,0,0,510,2,210,225,235,28,56,73,3.6
0,0,0,0,0,0,630,60,150,180,195,17,56,73,6.1
0,0,0,0,0,0,590,5,115,105,95,16,37,76,5.1
0,0,0,0,0,0,530,13,155,140,135,24,47,74,3.7
1,1,0,2,1,0,1140,50,165,165,180,25,46,70,3.8
0,0,1,0,0,1,770,57,220,230,255,21,38,50,7.7
0,0,0,0,0,0,1220,84,135,150,135,30,60,74,3.1
0,0,0,0,0,0,460,17,240,230,250,28,49,81,4.4
0,0,0,0,0,0,1010,58,145,180,165,41,69,71,6
0,0,0,0,0,0,760,26,175,270,210,18,50,72,6.2
1,0,0,1,0,0,1300,32,260,270,290,35,58,75,6.1
1,1,0,2,1,0,1270,66,176,145,150,28,39,61,4.5
0,0,0,0,0,0,380,45,180,160,165,21,40,86,6.2
1,1,1,3,3,1,550,31,195,240,270,20,42,63,6.9
0,0,0,0,0,0,390,8,150,130,140,35,50,75,4.6
0,1,0,0,1,0,1380,78,160,160,150,54,75,99,3.7
0,0,0,0,0,0,530,37,225,210,225,30,50,76,5.7
0,0,0,0,0,0,1190,18,165,175,240,26,47,71,4
1,1,1,1,1,1,1490,54,300,325,321,47,62,77,5.5
0,0,0,0,0,0,920,6,170,90,98,20,40,61,4.3
0,0,0,0,0,0,620,3,270,271,215,17,46,61,3.4
0,0,0,0,0,0,540,27,180,240,180,15,45,66,4.2
1,0,1,1,0,1,820,56,290,315,295,37,60,90,5.3
1,1,1,2,3,4,1220,66,225,240,255,45,61,86,5.6
1,1,1,1,1,2,1180,43,325,365,350,39,60,83,5.1
0,0,0,0,0,0,730,40,390,391,406,23,45,58,6.2
0,0,0,0,0,0,580,5,95,90,105,13,40,74,5.2
0,0,0,0,0,0,490,3,160,115,125,29,46,48,5.5
0,0,0,0,0,0,1270,52,185,220,204,35,50,72,5.6
0,0,0,0,0,0,930,38,240,210,210,24,52,62,4.2
0,0,0,0,0,0,510,49,210,150,180,43,51,62,4.1
1,1,NA,2,2,NA,1830,15,340,255,NA,69,94,NA,5.3
1,1,1,5,2,2,1940,62,325,340,345,60,73,84,5.1
1,1,1,2,3,4,1090,82,195,170,180,24,50,76,3.6
0,0,NA,0,0,NA,2010,0,250,270,NA,76,83,NA,4.7
0,0,0,0,0,0,790,5,220,180,190,23,36,69,6.3
1,1,1,1,1,2,1730,58,120,125,110,47,72,81,3.6
0,0,0,0,0,0,1120,98,170,170,195,28,43,62,3.3
0,0,0,0,0,0,620,33,180,180,210,21,45,74,4
0,0,0,0,0,0,590,53,185,165,190,28,42,62,8.6
1,1,1,3,2,1,1840,17,315,300,315,55,63,76,6.9
0,0,0,0,0,0,930,16,225,210,205,28,39,62,5.9
1,1,1,1,2,1,540,60,270,240,240,27,50,90,4.3
0,0,0,0,0,0,420,2,250,240,220,28,52,84,6.1
1,1,1,4,4,4,1400,52,240,240,240,26,48,76,5.7
0,0,0,0,0,0,890,58,185,220,190,24,45,61,6.9
1,1,1,5,9,3,1460,50,180,220,195,23,46,75,5.9
0,0,NA,0,0,NA,1850,12,210,195,NA,46,65,NA,4.5
0,0,0,0,0,0,1420,29,180,210,190,17,42,62,3.7
0,0,0,0,0,0,600,16,140,130,145,30,37,46,4.9
0,0,0,0,0,0,550,83,170,175,195,21,50,61,3.2
0,0,0,0,0,0,750,79,235,240,225,20,35,59,4
1,1,1,8,4,3,1790,51,250,280,270,47,69,77,5.7
0,0,0,0,0,0,680,8,125,130,120,16,43,59,6.1
0,0,1,0,0,1,990,45,240,240,240,13,39,55,4.2
0,0,0,0,0,0,520,5,180,185,170,20,36,60,6.3
0,0,0,0,0,0,760,64,195,195,210,26,40,47,4.8
0,0,0,0,0,0,370,14,250,240,205,20,55,77,9.4
0,0,NA,0,0,NA,2710,0,120,105,NA,91,99,NA,1.9
0,0,0,0,0,0,650,0,240,210,170,22,45,56,5.1
0,0,0,0,0,0,660,30,240,270,315,21,50,63,5.3
1,1,0,1,1,0,730,17,240,300,300,20,40,68,6.9
0,0,0,0,0,0,460,65,165,165,165,20,45,51,4.6
0,0,0,0,0,0,360,30,255,240,250,18,37,62,6.5
0,0,0,0,0,0,250,0,230,270,270,28,50,63,4.2
